Transaction_Amount,Account_Age_Days,Time_Since_Last_Transaction,Transactions_Last_24h,Transactions_Last_7d,Avg_Transaction_Amount_7d,Avg_Transaction_Amount_30d,Distance_From_Home_Location,Device_Risk_Score,Merchant_Risk_Score,Velocity_Transactions_1h,Velocity_Transactions_24h,Chargeback_History_Count,Failed_Login_Count,Session_Duration,IP_Risk_Score,Behavioral_Anomaly_Score,Card_Usage_Frequency,Credit_Limit_Utilization,Geo_Location_Risk,Transaction_Hour,Days_Since_Last_Address_Change,Num_Unique_Merchants_7d,Amount_Deviation_From_Avg,Email_Domain_Age_Days,Num_Cards_On_Account,Previous_Fraud_Reports,Merchant_Category,Transaction_Channel,Device_Type,Payment_Method,Country_Code,Account_Type,Card_Presence,Customer_Segment,Merchant_Size,Authentication_Type,Transaction_Day_Of_Week,Card_Type,Email_Provider,Fraud_Label,Time
28.22,113,1.78,0,15,33.32,31.06,7.26,12.1,20.8,1,3,0,0,152.8,2.7,4.9,8.5,0.464,15.8,17,749,5,-2.84,1660,2,0,restaurant,mobile,desktop,credit_card,US,personal,not_present,regular,large,pin,Saturday,visa,yahoo.com,0,254.63313767395454
11.11,960,25.35,1,10,15.22,15.47,3.58,31.4,21.9,0,0,0,0,358.6,0,5.4,19.2,0.362,11.9,15,597,0,-4.36,1775,2,0,grocery,ATM,unknown,debit_card,US,personal,present,regular,small,none,Monday,visa,yahoo.com,0,255.4450792
52.37,1496,29.94,3,11,44.79,51.13,19.26,3.9,27.1,0,2,1,1,168.3,22,31.3,9.4,0.44,9.2,13,702,3,1.24,1593,2,1,gas_station,POS,tablet,credit_card,RU,personal,present,regular,large,none,Saturday,visa,other,0,255.7188514072011
97.56,957,8.92,10,9,32.02,14.89,7.01,32.5,18,0,5,0,0,231.6,1.2,1.2,15.9,0.627,20,11,799,6,82.67,1814,2,0,grocery,online,desktop,debit_card,US,premium,not_present,inactive,large,3d_secure,Sunday,discover,outlook.com,0,255.76942392354593
81.52,886,2.63,3,16,57.51,61.04,8.62,7.8,7.9,2,1,0,0,281.7,2.4,9.7,21.6,0.666,23.8,11,736,7,20.48,1599,2,0,travel,mobile,desktop,bank_transfer,US,student,present,vip,medium,pin,Saturday,visa,yahoo.com,0,256.6401445970096
136.95,1420,11.38,2,11,126.82,123.86,2.92,0,0,2,4,0,0,25.2,10.7,11.6,12.1,0.412,0,13,581,6,13.09,2574,1,0,grocery,ATM,desktop,digital_wallet,US,business,present,new,enterprise,3d_secure,Monday,discover,hotmail.com,0,257.1142136333953
22.22,835,48.43,4,9,40.9,44.08,9.33,0,46.6,0,2,0,3,18.3,0,5.8,0,0.199,2.9,11,654,3,-21.86,2073,1,0,grocery,POS,tablet,bank_transfer,FR,personal,present,regular,large,3d_secure,Friday,visa,yahoo.com,0,257.43439284607217
13.96,1027,2.72,2,9,9.82,10.45,0.74,5.3,12.9,0,5,3,1,253.5,15.6,16.3,9.8,0.223,10.9,11,458,2,3.52,62,2,0,electronics,POS,mobile_app,debit_card,AU,business,not_present,vip,medium,3d_secure,Sunday,visa,hotmail.com,0,258.80797069784944
514.71,926,18.46,3,8,23.2,11.55,2.31,12.5,33.1,0,3,0,0,245.7,18.7,17,11.8,0.202,11.1,12,458,5,503.16,2225,2,1,restaurant,online,mobile_app,debit_card,US,personal,not_present,inactive,medium,signature,Wednesday,discover,protonmail.com,0,258.87634121847316
2.06,845,17.77,5,11,5,5,6.01,17.6,30.6,1,2,0,0,46.3,36,4.1,2.1,0,22.5,8,536,2,-2.94,2416,1,0,entertainment,online,mobile_app,debit_card,US,personal,present,new,large,signature,Thursday,visa,yahoo.com,0,259.2698741819095
18.54,1152,31.52,2,11,39.6,42.18,4.48,0,21.3,0,1,0,0,472.9,6.3,14.5,0,0.211,16.3,15,638,5,-23.64,1730,1,0,grocery,POS,mobile_app,debit_card,US,business,not_present,regular,large,biometric,Monday,discover,outlook.com,0,259.27649696378035
80.04,1057,21.39,3,13,121.24,131.03,1.03,24.1,22.7,2,2,0,0,323,0,51.1,11.7,0.451,28.7,16,633,2,-51,1637,1,0,gas_station,POS,desktop,debit_card,DE,business,not_present,vip,medium,3d_secure,Saturday,amex,gmail.com,0,259.6432624981384
87.23,860,17.75,6,5,67.47,63.83,7.55,4.8,10.5,0,6,0,0,502.3,32.3,22,13.7,0.103,22.3,9,599,4,23.4,1713,1,0,clothing,POS,desktop,debit_card,US,business,present,regular,large,none,Thursday,amex,gmail.com,0,259.67687374815665
91.19,1053,28.6,0,7,66.09,66.64,8.97,17,10.5,1,1,0,0,122.1,0,7.7,7.9,0.39,35.2,7,481,3,24.55,1581,1,0,gas_station,online,mobile_app,digital_wallet,US,premium,not_present,regular,enterprise,pin,Friday,visa,gmail.com,0,259.7502385257967
28.31,1258,17.61,1,10,26.18,24.51,295.57,0,39.3,0,0,0,1,58.7,22.6,7.6,9.1,0.431,11.1,8,483,5,3.8,2336,3,0,entertainment,POS,unknown,debit_card,US,business,not_present,regular,enterprise,biometric,Wednesday,mastercard,other,0,259.8227537
26.04,1544,13.64,3,13,81.41,71.61,292.05,26.4,14.9,2,5,0,0,190.1,31.1,0,8.4,0.223,23.2,8,661,3,-45.57,2450,2,0,clothing,POS,mobile_browser,debit_card,IN,personal,present,regular,enterprise,none,Friday,mastercard,gmail.com,0,260.43034340447707
869.29,845,32.2,4,8,254.74,112.67,9.41,48.5,18.5,0,0,0,0,257.5,28.7,16.9,8.9,0.356,14,6,743,3,756.62,2226,2,0,grocery,POS,tablet,credit_card,US,personal,present,vip,small,pin,Thursday,mastercard,gmail.com,0,261.2252901
124.86,861,20.65,2,12,186.95,195.51,42.46,2,32.1,1,2,0,0,1352.5,19.1,12.5,6.8,0.371,26.1,7,623,3,-70.65,1684,5,0,grocery,online,tablet,debit_card,NG,personal,present,vip,large,none,Wednesday,visa,outlook.com,0,261.7331112714607
37.88,974,6.63,1,21,25.56,25.57,29.43,28.1,22.6,2,2,0,1,293.3,15.9,21.2,0,0.102,33.9,17,537,4,12.31,1545,1,2,restaurant,online,desktop,credit_card,US,business,present,new,large,biometric,Wednesday,amex,outlook.com,0,263.6324489927401
14.33,808,18.19,5,12,20.38,22.53,6.01,62,36.9,0,3,0,1,295.9,0,18.8,12.6,0.415,31.6,15,431,2,-8.21,2163,2,0,restaurant,online,mobile_app,credit_card,US,business,present,inactive,medium,pin,Monday,amex,yahoo.com,0,263.90493100793384
82.4,803,22.79,0,6,47.7,52.58,277.25,34.3,35.1,1,1,0,0,138.7,15,8,11.1,0.199,20.9,23,409,5,29.82,1793,2,0,online_services,mobile,mobile_app,credit_card,CA,personal,not_present,new,enterprise,pin,Thursday,amex,yahoo.com,0,264.10008311923775
40.46,2164,44.93,0,10,43.67,38.04,66.71,16.8,47,0,4,0,0,279.2,6.3,0,1,0.385,0,20,423,5,2.43,2163,2,0,gas_station,mobile,desktop,credit_card,US,personal,present,regular,medium,biometric,Wednesday,visa,gmail.com,0,265.2771945913765
89.11,1273,19.58,1,10,93.8,106.12,13.35,12.3,17.2,0,6,0,0,420.3,20.5,7.3,18.8,0.147,11.8,12,425,6,-17,1800,3,0,grocery,online,desktop,credit_card,IN,personal,present,vip,small,pin,Thursday,mastercard,gmail.com,0,265.4239822
24.91,865,28.01,4,6,13.12,15.25,23.41,81.3,9.2,1,3,0,0,287.7,11.9,22.5,8.8,0.094,23.6,12,617,3,9.66,1585,1,0,grocery,POS,unknown,credit_card,IN,personal,present,inactive,medium,3d_secure,Saturday,visa,yahoo.com,0,267.3396468522871
209.38,890,20.65,0,6,249.98,117.5,0.68,35.3,20.8,2,1,0,0,352.7,0,6.7,3.8,0.661,24.6,13,644,6,91.87,2044,7,0,restaurant,POS,mobile_browser,credit_card,GB,business,present,inactive,large,biometric,Saturday,discover,gmail.com,0,267.3467396400153
11.86,1225,1.37,2,6,29.19,31.04,1.29,11.6,47.2,0,6,0,0,143.5,11.4,15,13.5,0.701,0,18,468,2,-19.18,1921,3,0,restaurant,online,mobile_app,digital_wallet,US,premium,not_present,regular,small,signature,Friday,visa,yahoo.com,0,269.3782052552854
18.94,1928,13.15,2,9,41.61,45.71,1.36,0,22.6,0,2,1,1,126.2,12.9,5.2,20.2,0.061,0,14,541,5,-26.77,2344,1,0,grocery,online,mobile_browser,credit_card,FR,personal,present,inactive,large,pin,Tuesday,amex,hotmail.com,0,269.40379427448414
93.09,1860,25.79,1,12,95.37,94.97,2.26,15.6,28.7,6,1,0,0,100.3,20.6,19.3,8.4,0.2,5.2,17,512,3,-1.89,2748,1,0,money_transfer,mobile,mobile_browser,debit_card,IN,premium,present,regular,medium,biometric,Thursday,mastercard,outlook.com,0,270.69007258739697
75.59,1308,26.5,3,5,87.67,88.09,12.92,24,0,1,3,0,0,324.8,10,32.1,6.9,0.572,47.7,9,645,4,-12.5,1597,3,0,health,POS,tablet,credit_card,GB,personal,present,regular,enterprise,3d_secure,Saturday,discover,hotmail.com,0,271.1251556725996
76.29,1152,20.55,3,14,52.89,47.65,3.71,18,28.3,0,2,5,0,470.9,14,0,7.4,0.219,0.1,13,412,3,28.64,2866,1,0,restaurant,mobile,mobile_browser,credit_card,US,business,not_present,inactive,large,pin,Monday,discover,outlook.com,0,274.0001162651967
208.55,839,18.75,10,14,126.98,125.35,0.18,21.1,15.4,0,1,0,0,77.6,9.2,23.5,0.3,0.119,31.2,0,634,6,83.2,2028,5,0,gas_station,POS,mobile_browser,debit_card,US,business,present,regular,medium,3d_secure,Thursday,visa,outlook.com,0,274.0445798632503
366.7,851,43.1,0,10,14.01,8.38,7.28,27.1,0,0,3,0,1,60.8,16.3,12.9,9.8,0.518,13.6,9,716,5,358.32,1617,1,0,restaurant,POS,unknown,debit_card,RU,personal,not_present,vip,enterprise,none,Sunday,visa,yahoo.com,0,274.51270346821565
147.8,1302,27.48,1,7,109.94,100.7,1.86,30.7,0,2,1,0,0,173.1,24.6,27,9.9,0.453,0,16,48,3,47.1,1575,1,0,restaurant,mobile,mobile_browser,credit_card,CA,student,present,inactive,large,3d_secure,Wednesday,amex,gmail.com,0,276.53317709654414
15.29,1599,18.95,5,7,17.1,15.36,17.11,11.5,11.1,0,5,1,1,133,7.3,13.5,23.5,0.437,19.8,10,48,6,-0.07,1970,1,1,gas_station,mobile,tablet,credit_card,CA,personal,not_present,vip,large,biometric,Tuesday,amex,hotmail.com,0,276.9626345777891
72.43,1269,8.18,5,12,60.23,59.52,30.11,35,0,1,2,0,1,639.9,22,9,15.7,0.412,17.7,9,406,5,12.91,2383,1,0,gas_station,POS,mobile_app,credit_card,US,business,present,inactive,large,pin,Saturday,visa,other,0,277.5383589862102
30.76,969,16.08,1,9,22.32,21.48,7.28,22.3,69.6,0,2,0,1,97.5,2.4,10.4,24,0.115,0,19,437,3,9.28,1854,1,0,grocery,mobile,desktop,credit_card,US,personal,present,regular,large,biometric,Tuesday,discover,gmail.com,0,278.2285017043179
63.18,1287,8.48,3,11,34.96,38.47,11.76,0,11,0,2,0,0,471.9,0,12.5,15.2,0.095,12.1,3,694,2,24.71,2057,2,0,health,online,mobile_app,digital_wallet,US,personal,not_present,regular,large,signature,Wednesday,visa,gmail.com,0,278.58005580261056
27.98,1308,20.52,4,13,18.34,19.25,6.6,12.7,29.7,0,2,0,0,474.9,26.4,13.9,15.4,0.42,23.5,14,517,3,8.73,2170,1,0,gas_station,online,desktop,digital_wallet,DE,student,not_present,inactive,large,pin,Tuesday,mastercard,gmail.com,0,279.15290682295523
52.9,1303,36.98,2,5,45.38,42.87,21.02,34.3,14.7,1,8,0,0,89.9,7,25.6,2.4,0.231,19.1,15,507,4,10.03,2603,1,0,travel,mobile,mobile_browser,digital_wallet,US,personal,present,regular,enterprise,biometric,Saturday,visa,yahoo.com,0,279.66204582280255
62.39,136,23.81,2,17,194.41,181.16,33.15,56.3,15.2,0,3,0,1,264.6,14.7,0,5.9,0.234,6.9,12,533,1,-118.77,2008,1,0,entertainment,online,mobile_browser,credit_card,US,personal,not_present,vip,small,signature,Tuesday,visa,hotmail.com,0,281.0043008291025
19.8,1359,13.06,2,10,20.64,20.29,62.94,8.6,15.7,2,2,1,0,104.9,23.3,3.6,8.9,0,0,9,464,4,-0.49,98,3,0,restaurant,mobile,mobile_app,credit_card,US,business,present,vip,large,pin,Monday,visa,yahoo.com,0,281.0312774769137
34.07,1446,0.1,1,15,28.21,27.09,52.54,3.8,35.3,1,3,1,1,208.5,0,0,11.3,0.489,16,9,490,4,6.98,3085,1,1,entertainment,mobile,mobile_app,debit_card,GB,premium,present,new,medium,3d_secure,Wednesday,visa,gmail.com,0,281.2225863
57.95,131,15.3,1,10,38.03,34.16,12.51,17.6,40.2,1,1,0,0,226.8,0,13.6,13.7,0.203,10.1,14,451,7,23.79,2057,2,0,money_transfer,online,mobile_browser,digital_wallet,CA,personal,present,regular,enterprise,pin,Saturday,visa,gmail.com,0,282.96490394133434
30.74,1624,4.02,2,4,21.88,20.11,22.52,95.9,16.7,0,3,0,0,149.7,8.7,19,9.7,0.602,0,5,485,4,10.62,2947,3,0,restaurant,online,mobile_browser,digital_wallet,US,personal,present,regular,medium,signature,Monday,visa,protonmail.com,0,284.2465159218374
26.74,1218,25.13,2,9,27.67,32.24,3.66,22.2,15.4,3,1,0,0,149.3,10.1,16,2.6,0.306,14.9,11,491,1,-5.5,1932,1,0,grocery,mobile,tablet,bank_transfer,AU,premium,present,new,medium,signature,Monday,amex,hotmail.com,0,284.59925757377397
76.3,958,13.37,3,7,41.27,47.77,4.46,15.3,38.1,0,0,0,0,365.2,13.5,37.1,6,0.446,21.9,8,833,4,28.53,1911,1,3,electronics,online,desktop,debit_card,DE,premium,not_present,vip,large,3d_secure,Friday,mastercard,other,0,285.16065873044255
17.06,1178,25.77,3,8,43.33,47.6,9.87,7.2,25.1,1,4,1,0,246.9,21.1,6.1,10.2,0.283,16.3,6,32,6,-30.54,2041,1,0,gas_station,POS,mobile_browser,digital_wallet,JP,personal,present,regular,large,signature,Monday,visa,gmail.com,0,285.34908531398173
18.7,801,13.64,0,13,17.1,15.19,11.45,37.9,26.3,0,1,0,0,289.5,13.4,12.6,7.3,0.102,14.9,13,425,0,3.52,2034,2,0,electronics,mobile,mobile_app,digital_wallet,GB,personal,present,vip,large,3d_secure,Friday,discover,outlook.com,0,285.46995972761465
105.13,1252,12.1,2,11,136.77,146.58,5.23,23.9,4.4,2,1,1,1,187.2,6,2.4,10.2,0.219,28.9,19,546,2,-41.45,1506,1,0,grocery,mobile,desktop,debit_card,US,personal,not_present,vip,large,none,Friday,visa,gmail.com,0,285.8313337
45.04,1063,24.62,1,5,37.89,37.11,7.84,31.3,57.4,1,3,0,0,538.8,11.3,10.4,6.4,0.34,29.5,11,482,4,7.93,1636,1,0,entertainment,mobile,unknown,digital_wallet,JP,personal,not_present,vip,enterprise,biometric,Sunday,discover,gmail.com,0,286.0841867649987
1299.75,1406,2.07,1,13,63.51,26.24,2.26,15.8,19.8,1,3,0,0,626.9,16.9,7.7,9.7,0.523,14.8,2,460,4,1273.51,1547,2,0,electronics,POS,mobile_app,debit_card,US,personal,not_present,inactive,small,3d_secure,Tuesday,visa,gmail.com,0,286.59240811448257
54.86,1962,13.74,0,14,40.59,42.41,4.32,22.4,11.6,1,1,0,0,74,10.7,9,1.7,0.667,17.1,8,517,5,12.46,1883,1,1,health,POS,desktop,digital_wallet,GB,business,not_present,regular,medium,pin,Saturday,visa,gmail.com,0,286.6393430394538
103.81,1034,7.56,4,9,75.61,69.94,2.25,16.5,18.9,0,1,0,1,918.6,10.9,7.3,12.3,0.233,18.1,5,793,8,33.86,1837,1,0,grocery,POS,desktop,bank_transfer,US,personal,not_present,regular,medium,3d_secure,Wednesday,amex,outlook.com,0,288.7650199105169
67.68,145,38.94,1,6,59.49,26.51,42.08,11.8,0,0,2,0,0,421.6,27.6,0,17.6,0.45,17.7,11,609,3,41.17,2812,2,0,health,POS,mobile_browser,bank_transfer,IN,personal,present,regular,medium,none,Thursday,discover,protonmail.com,0,291.2496619443374
41.53,1118,17.7,7,9,24.33,25.3,2.32,20,14.9,0,2,0,0,12.5,17.8,14.7,15.7,0.721,15.8,13,908,5,16.23,2063,1,0,grocery,POS,desktop,debit_card,BR,personal,not_present,regular,large,none,Thursday,visa,yahoo.com,0,291.9444229958468
13.94,921,25.21,3,9,16.96,17.05,1.35,41.5,0,0,2,2,0,214.5,10.7,15,6.8,0.536,13.3,15,426,5,-3.11,1786,1,0,electronics,POS,desktop,credit_card,US,premium,present,vip,large,3d_secure,Thursday,amex,other,0,292.3899084878058
61.98,1016,37.86,2,8,58.35,66.1,390.61,10.5,0,0,1,0,0,263.1,20.3,15.7,11.2,0.469,0,17,44,3,-4.11,2450,2,0,clothing,online,desktop,credit_card,US,personal,present,regular,large,none,Wednesday,mastercard,gmail.com,0,292.60472848270734
30,928,30.96,2,13,28.48,26.16,19.29,12.1,68.8,1,1,1,0,253.2,31.7,56.6,19.5,0,7.4,10,426,4,3.84,2141,2,0,clothing,POS,desktop,digital_wallet,US,personal,present,new,enterprise,3d_secure,Monday,visa,hotmail.com,0,293.5796546398504
71.06,1302,22.54,4,13,68.3,65.9,1.05,21.5,15.8,0,1,0,0,240,11.7,12.1,19.8,0.189,27.3,12,28,1,5.16,133,1,0,restaurant,online,mobile_browser,digital_wallet,US,personal,not_present,inactive,enterprise,biometric,Monday,visa,outlook.com,0,294.2491657983667
38.59,900,39.8,3,9,30.96,29.88,0.57,7.1,17.7,1,2,0,0,159.9,0,0.2,18.5,0.257,17.2,20,682,2,8.71,1998,3,0,restaurant,online,mobile_app,credit_card,US,personal,not_present,regular,medium,signature,Sunday,mastercard,hotmail.com,0,294.3521005
77.52,1277,29.26,5,8,44.8,49.19,3.18,33.3,6.4,1,1,0,0,185.2,9.1,6.4,16.9,0.389,0,12,697,4,28.33,1668,2,0,gas_station,POS,mobile_app,credit_card,AU,student,not_present,inactive,enterprise,signature,Saturday,visa,gmail.com,0,295.7547151511045
25.94,853,4.95,0,11,40.36,39.89,5.08,15.4,5.4,2,0,0,2,258.1,18.5,14,18.6,0.257,7.1,14,566,4,-13.95,2858,1,0,grocery,online,desktop,credit_card,BR,premium,not_present,regular,small,pin,Wednesday,amex,yahoo.com,0,296.7575319676975
96.39,942,21.26,1,12,68.39,60.57,123.93,24.4,29.6,0,2,0,1,137.7,0,18.5,0,0.526,27,10,456,3,35.82,1821,2,0,entertainment,mobile,mobile_app,debit_card,AU,premium,present,regular,large,signature,Saturday,mastercard,outlook.com,0,298.4927403122169
7.09,1382,12.51,1,10,5.11,5,3.04,0,8,0,4,0,0,890.4,57,4.6,16.3,0.262,15.9,10,671,8,2.09,2080,1,0,entertainment,online,mobile_browser,credit_card,US,personal,present,regular,enterprise,signature,Friday,mastercard,yahoo.com,0,299.24303063465067
53.33,1884,3.6,0,11,35.36,41.04,13.98,5.7,14.7,1,0,0,1,289.3,30.4,6,18.4,0.451,34.9,14,555,2,12.29,1797,2,0,restaurant,mobile,mobile_browser,digital_wallet,US,student,not_present,new,large,signature,Wednesday,mastercard,yahoo.com,0,299.79426496601366
27.07,1284,14.07,2,10,46.18,52.69,17.89,13.3,9.5,3,4,0,0,251.2,3.9,21.9,0,0.713,5.4,17,792,2,-25.62,1971,3,0,grocery,online,mobile_browser,digital_wallet,US,personal,present,regular,medium,biometric,Tuesday,mastercard,outlook.com,0,300.10845241983765
56.34,984,2.87,5,8,151.17,138.74,9.87,40.1,33.6,0,2,0,0,287.5,0,2.7,20.1,0.139,8.2,9,514,8,-82.39,1625,2,0,entertainment,POS,mobile_app,digital_wallet,US,personal,present,regular,large,signature,Wednesday,amex,yahoo.com,0,301.67388306953495
10.41,1053,4.28,2,12,22.13,21.27,2.72,75,20.4,0,2,0,1,207.4,14.6,73.7,7,0.264,52.9,13,817,8,-10.86,2148,1,0,gas_station,POS,mobile_app,credit_card,US,business,not_present,new,large,3d_secure,Tuesday,visa,yahoo.com,0,302.8399106499622
103.76,1232,39.64,1,22,59.45,65.99,31.36,23.5,39,0,1,0,0,370.7,16.6,13.1,8.7,0.171,19.3,14,719,3,37.77,1520,2,0,clothing,POS,desktop,credit_card,US,personal,present,regular,medium,pin,Tuesday,visa,gmail.com,0,302.86674895438097
42.26,817,9.6,2,7,101.34,92.65,5.3,6.4,7.2,1,1,0,1,89.2,9.8,22.8,13,0.94,24.2,12,435,5,-50.39,3130,3,0,electronics,ATM,mobile_browser,digital_wallet,US,personal,present,inactive,medium,signature,Friday,visa,gmail.com,0,302.88224702816353
574.89,1054,29.06,4,10,373.23,162.54,5.34,0,29.5,2,7,0,0,315,7.7,55.2,2,0.332,100,17,428,2,412.34,79,3,0,grocery,ATM,tablet,debit_card,US,student,present,new,small,biometric,Friday,mastercard,yahoo.com,0,303.1562087298818
5.7,948,11.81,0,8,10.64,11.08,3.7,12.4,10.1,0,9,0,0,105.4,18.1,0.5,20.5,0.443,15.7,7,753,5,-5.38,2703,2,0,restaurant,POS,mobile_app,debit_card,IN,business,not_present,vip,medium,pin,Tuesday,amex,hotmail.com,0,304.12112440921953
56.37,1159,29.38,0,11,56.89,63.39,9.05,0,0,8,2,1,1,201.1,8.8,9.1,18.5,0.299,35.6,15,488,2,-7.03,2065,1,0,travel,mobile,mobile_browser,credit_card,US,personal,present,regular,medium,signature,Tuesday,discover,outlook.com,0,306.65240418078724
35.94,1641,2.69,6,15,25.31,22.31,5.25,14.8,43.8,0,1,0,1,86.6,1.4,14.8,12.6,0.324,30.8,18,406,3,13.63,1686,2,0,travel,online,mobile_browser,credit_card,US,student,not_present,regular,medium,3d_secure,Monday,mastercard,gmail.com,0,306.7469496965492
24.8,999,2.6,2,13,29.59,31.85,50.13,19.2,19.9,0,1,0,0,53.1,3.5,8,18,0.557,54.7,17,459,6,-7.06,2116,1,0,electronics,mobile,tablet,debit_card,CA,personal,not_present,inactive,large,none,Tuesday,mastercard,hotmail.com,0,307.26994969207436
251.12,1124,25.03,4,12,160.65,169.11,1.08,22.7,12.8,1,1,0,0,206.6,0,13.9,0,0.411,43.5,15,568,6,82.01,2497,3,0,gas_station,ATM,mobile_browser,bank_transfer,CA,premium,present,new,large,pin,Wednesday,mastercard,gmail.com,0,307.54804443793404
192.21,989,12.8,1,9,343.44,399.01,24.73,19,18.6,0,4,0,0,136.5,24.2,0.4,0.7,0.172,12.1,13,469,1,-206.8,2817,2,0,grocery,mobile,desktop,credit_card,US,premium,not_present,vip,medium,none,Wednesday,visa,outlook.com,0,309.5801953994721
60.14,1409,16.06,2,10,32.02,36.06,19.87,5.8,13.3,1,7,0,0,386.8,39.7,20.6,13.9,0.28,9.2,14,446,6,24.08,2301,1,0,electronics,POS,desktop,credit_card,US,premium,not_present,new,medium,3d_secure,Friday,amex,gmail.com,0,310.6508250597836
43.16,907,0.28,1,13,38.04,41.61,27.98,11.2,24.4,0,0,0,0,150.3,28.2,4.5,21.2,0.51,13.9,6,781,4,1.55,2097,2,0,travel,POS,unknown,bank_transfer,IN,premium,present,regular,small,biometric,Friday,visa,outlook.com,0,311.7076952867361
33.12,1771,1.21,3,9,46.04,44.81,19.35,27.4,15.7,0,2,0,0,511.4,0.6,0.5,12.9,0.212,42.5,13,606,1,-11.7,1608,2,0,gas_station,mobile,tablet,credit_card,DE,personal,not_present,new,small,signature,Thursday,mastercard,outlook.com,0,312.07449631799716
66.67,961,13.81,3,11,62.58,59.96,8.24,10.7,16.2,0,1,0,0,150.3,16.1,7.3,10.7,0.091,22.8,9,504,4,6.71,1874,1,0,grocery,POS,mobile_browser,debit_card,US,personal,present,vip,medium,pin,Wednesday,visa,protonmail.com,0,312.38528058106704
21.13,987,23.81,0,12,29.64,31.58,0.98,26.1,30,0,4,0,0,1585.1,2.7,1.1,0,0.746,0,14,508,3,-10.44,1630,3,0,grocery,mobile,mobile_app,credit_card,CA,personal,present,regular,large,pin,Tuesday,discover,outlook.com,0,312.5705261385141
39.38,1093,5.11,2,9,42.97,39.37,27.07,13.8,24.3,0,2,0,0,204.5,17.8,18,3.6,0,0,10,515,5,0,2280,1,0,restaurant,POS,tablet,credit_card,US,personal,not_present,regular,large,none,Friday,visa,protonmail.com,0,312.6041817775441
17.06,1650,23.94,1,20,16.85,16.59,16.45,16.9,21,1,1,0,1,274.1,20.5,6.2,8.5,0.93,0,1,428,3,0.47,2216,1,0,electronics,mobile,mobile_app,credit_card,US,personal,present,vip,medium,signature,Saturday,amex,gmail.com,0,313.76442893874605
7.88,1324,26.42,4,6,10.32,10.53,1.23,40.8,21.4,2,3,1,0,87.3,10.6,0,23.2,0.112,17.9,11,784,5,-2.65,1593,2,0,restaurant,POS,mobile_app,digital_wallet,US,business,present,regular,medium,3d_secure,Friday,mastercard,gmail.com,0,314.7365771
56.66,912,26.37,3,13,34.48,34.47,7.63,0,34.8,0,1,0,0,460.7,5.3,2.2,8.9,0.238,15.4,19,611,3,22.19,1939,7,0,clothing,online,tablet,debit_card,US,personal,not_present,regular,large,3d_secure,Friday,visa,gmail.com,0,319.4765955002455
28.25,1251,13.01,1,8,37.27,37.58,1,17.3,27,0,2,3,0,527.1,89.4,2.4,21.5,0.418,13.7,4,658,6,-9.33,3043,4,0,restaurant,POS,mobile_browser,credit_card,JP,personal,present,regular,small,pin,Thursday,visa,gmail.com,0,322.77962207267717
10.92,1031,1.64,3,11,12.38,11.39,44.35,10.9,10.2,0,10,0,0,292.3,16.8,6.6,11.9,0.856,19.5,10,545,2,-0.48,2493,1,0,entertainment,mobile,desktop,debit_card,US,personal,present,regular,enterprise,none,Thursday,visa,gmail.com,0,323.2497999964092
400.47,1038,23.52,1,33,230.04,240.82,13.64,35,32.9,0,2,0,0,538.1,21.4,2.9,13.2,0.112,1.5,9,851,3,159.65,2837,2,0,entertainment,POS,mobile_app,digital_wallet,CA,premium,not_present,regular,medium,none,Monday,amex,gmail.com,0,324.0996641887288
416.45,857,20.91,1,13,253.97,253.55,2.5,0,19.6,2,6,0,1,210.3,4,12.4,11.1,0.332,27.6,12,501,15,162.91,2205,3,0,restaurant,mobile,unknown,credit_card,US,personal,not_present,vip,medium,pin,Tuesday,mastercard,outlook.com,0,325.7794438
10.97,1330,22.04,3,11,12.04,12.5,2.04,14,28,0,1,0,1,368.3,11.2,3.6,21.6,0,4.8,12,829,1,-1.53,2016,1,0,grocery,mobile,mobile_app,digital_wallet,GB,personal,present,regular,large,pin,Tuesday,visa,gmail.com,0,326.8784115333273
64.77,859,1.97,3,9,81.3,91.82,6.82,24.7,56.2,0,2,1,0,29.5,5.3,27.1,18.5,0.313,0,19,492,3,-27.05,1937,4,0,restaurant,POS,mobile_app,digital_wallet,JP,business,not_present,regular,enterprise,pin,Wednesday,amex,gmail.com,0,327.04321995118437
124.19,1222,29.02,5,5,84.93,82.3,4.73,25.6,12,1,1,0,0,148.8,18,0,1.6,0.667,23.1,11,421,8,41.89,3019,1,0,restaurant,mobile,mobile_browser,debit_card,US,premium,present,regular,medium,pin,Thursday,visa,yahoo.com,0,327.39053951107627
81.37,1505,29.23,2,13,64.11,63.55,8.2,14.6,10.2,0,2,0,0,30.2,13.6,19.9,9.7,0.263,1.5,6,679,10,17.82,1994,2,0,restaurant,mobile,mobile_browser,debit_card,US,personal,not_present,regular,medium,biometric,Monday,mastercard,gmail.com,0,327.4707513907779
35.85,967,27.86,0,12,41.32,40.77,7.83,18.5,7.2,0,0,0,0,262.5,33.2,12,26.7,0.071,70.3,8,633,4,-4.92,2127,2,0,grocery,mobile,desktop,digital_wallet,FR,personal,present,new,medium,signature,Wednesday,discover,yahoo.com,0,329.25728118691404
